People & Body
👨‍🦼,man_in_motorized_wheelchair
👩‍🦼,woman_in_motorized_wheelchair
🧑‍🦽,person_in_manual_wheelchair
👨‍🦽,man_in_manual_wheelchair
👩‍🦽,woman_in_manual_wheelchair
🏃,runner,running
🏃‍♂️,running_man
🏃‍♀️,running_woman
💃,woman_dancing,dancer
🕺,man_dancing
🕴️,business_suit_levitating
👯,dancers
👯‍♂️,dancing_men
👯‍♀️,dancing_women
🧖,sauna_person
🧖‍♂️,sauna_man
🧖‍♀️,sauna_woman
🧗,climbing
🧗‍♂️,climbing_man
🧗‍♀️,climbing_woman
🤺,person_fencing
🏇,horse_racing
⛷️,skier
🏂,snowboarder
🏌️,golfing
🏌️‍♂️,golfing_man
🏌️‍♀️,golfing_woman
🏄,surfer
🏄‍♂️,surfing_man
🏄‍♀️,surfing_woman
🚣,rowboat
🚣‍♂️,rowing_man
🚣‍♀️,rowing_woman
🏊,swimmer
🏊‍♂️,swimming_man
🏊‍♀️,swimming_woman
⛹️,bouncing_ball_person
⛹️‍♂️,bouncing_ball_man,basketball_man
⛹️‍♀️,bouncing_ball_woman,basketball_woman
🏋️,weight_lifting
🏋️‍♂️,weight_lifting_man
🏋️‍♀️,weight_lifting_woman
🚴,bicyclist
🚴‍♂️,biking_man
🚴‍♀️,biking_woman
🚵,mountain_bicyclist
🚵‍♂️,mountain_biking_man
🚵‍♀️,mountain_biking_woman
🤸,cartwheeling
🤸‍♂️,man_cartwheeling
🤸‍♀️,woman_cartwheeling
🤼,wrestling
🤼‍♂️,men_wrestling
🤼‍♀️,women_wrestling
🤽,water_polo
🤽‍♂️,man_playing_water_polo
🤽‍♀️,woman_playing_water_polo
🤾,handball_person
🤾‍♂️,man_playing_handball
🤾‍♀️,woman_playing_handball
🤹,juggling_person
🤹‍♂️,man_juggling
🤹‍♀️,woman_juggling
🧘,lotus_position
🧘‍♂️,lotus_position_man
🧘‍♀️,lotus_position_woman
🛀,bath
🛌,sleeping_bed
🧑‍🤝‍🧑,people_holding_hands
👭,two_women_holding_hands
👫,couple
👬,two_men_holding_hands
